HIP,中文星名,英文星名
45336,柳宿八,
45410,鬼宿增十六,
45412,軒轅增三,
45455,內階六,
45493,文昌六,
45526,星宿增二,
45527,星宿增六,
45556,海石二,Aspidiske
45688,軒轅三,
45699,鬼宿增十五,
45751,星宿六,
45811,星宿五,
45836,文昌增五,
45860,軒轅四,
45941,天社五,
45974,文昌增六,
46058,軒轅增廿五,
46107,小斗六,
46146,軒轅七,
46221,星宿增七,
46239,文昌增三,
46365,星宿增一,
46390,星宿一,Alphard
46454,酒旗三,
46457,酒旗增五,
46471,上台增七,
46509,星宿二,
46651,天記增一,
46652,軒轅增二,
46701,天社六,
46733,內階四,
46735,軒轅增一,
46744,星宿七,
46750,軒轅八,Alterf
46771,酒旗二,
46774,酒旗增四,
46776,星宿三,
46853,文昌四,
46904,內平增五,
46928,小斗五,
46952,內平增六,
46974,海石三,
46977,紫微右垣四 少輔,
46982,星宿增八,
47006,文昌增四,
47080,內平增七,
47096,酒旗增二,
47189,酒旗增一,
47193,四輔增一,
47205,軒轅增四五,
47247,軒轅增廿六,
47249,星宿增十五,
47266,酒旗增三,
47300,內平增四,
47310,軒轅增四六,
47427,星宿增十三,
47431,星宿四,
47436,內平增八,
47442,星宿增十四*,
47452,張宿五,
47508,軒轅十五/軒轅增五九,Subra
47550,軒轅增廿七,
47570,內平增三,
47617,軒轅五,
47631,內平三,
47654,少輔增一,
47701,軒轅六,
47723,酒旗一,
47854,海石四,
47908,軒轅九,
47911,文昌增一,
47959,軒轅增四四,
47965,文昌增二,
48002,海石五,
48034,文昌一*,
48087,星宿增十,
48218,軒轅增廿九,
48256,內平增二,
48273,軒轅增四八,
48286,星宿增十一,
48319,文昌二,
48324,軒轅增四三,
48341,星宿增九,
48356,張宿一,
48390,軒轅增廿八,
48402,文昌三,
48414,軒轅增四七,
48428,內平增一,
48437,星宿增十二,
48455,軒轅十,Rasalas
48552,軒轅增四九,
48682,文昌增七,
48734,軒轅增四十,
48742,內平四,
48833,中台增二,
48876,軒轅增卅九,
48883,軒轅增四二,
48954,文昌增八*,
48988,軒轅增四一*,
