color_index,DEC,HIP no.,RA,mag,恆星視差
B9.5V,-79.4201930432,33384,104.1436477035,5.45,0.041
G8III:,37.4166879683,112590,342.0459820351,5.82,1.024
B9Vn,30.9836654205,98325,299.6582558598,5.51,-0.06
K1III,29.322143065,87308,267.5953858447,5.51,1.071
B5IV,-16.3858748437,19398,62.3243151939,5.45,-0.147
O9.5V...,-2.6000688822,26549,84.6865333264,3.77,-0.19
K5III,-2.4845848174,53907,165.4569770266,4.73,1.593
B7IV,-70.963411235,32912,102.8624428961,5.41,-0.11
A3V,9.6555799951,42265,129.2740426222,5.92,0.083
B9III,50.9681676719,3801,12.208422387,4.9,-0.091
Fp,-41.2536052059,44191,135.0225357543,4.45,0.646
B9V + G,19.8678487081,27747,88.097523705,5.96,0.549
B5V,5.9481390485,25813,82.6960490652,4.2,-0.143
B8IV-V,20.9820445104,20493,65.8848618684,6,0.029
A2V,32.25229649,44307,135.3505393522,5.89,0.088
F2V,-14.5638049961,37891,116.4869583794,5.03,0.342
K1II/III,-51.6081789512,102950,312.8752071107,5.06,1.125
F4IIIvar,46.0568617001,16499,53.1094157518,5.3,0.398
K0III,-29.4162203042,79302,242.7586240166,5.09,1.131
F1III,-75.8965438576,56675,174.3151476814,5.64,0.362
B7Vn,-53.015397804,42535,130.0727673974,5.56,-0.125
F9Vn...,39.9746487269,84949,260.4317382635,5.55,0.667
A3V,-42.422868196,100591,305.9715757679,5.64,0.201
K3III,0.2278566324,17805,57.1623106642,5.91,1.224
B2V,-51.7274151703,41296,126.3805225253,5.18,-0.164
Ap Si,-69.2681636689,83150,254.8914966468,5.79,-0.103
A0p SiSr,68.0430211077,7965,25.5855301397,5.57,-0.049
K2III,70.7708983991,110725,336.503407511,5.47,1.216
B8V,-47.8752717808,74911,229.6334208452,4.27,-0.086
B9MNp...,44.9349059897,79101,242.1924079496,4.23,-0.045
O9II,62.4605674844,107374,326.2219984146,5.94,0.312
G8III,20.9584879958,82764,253.7298768131,5.39,0.966
K0/K1III+..,-36.185343866,78142,239.3388560277,5.78,1.095
A0V,-35.5136474024,28855,91.363245226,5.8,0.027
K3/K4II,-57.5576358989,51849,158.8970743097,4.45,1.604
A4IV,-28.060611059,73566,225.5268111793,5.83,0.164
K2/K3III,-38.5133715109,25993,83.2142269201,5.45,1.224
B1.5IV,-46.8577173865,38159,117.3035982493,5.82,-0.142
B2IV-V,-72.2566078748,55657,171.0463635487,5.55,0.017
K2III,35.1831282714,13905,44.7653191466,4.94,1.235
A1V,17.3178864822,84631,259.5205819907,6,0.015
F2Ib,0.3385700697,95585,291.6295381997,4.64,0.576
K0III,59.2320403096,7294,23.4828203716,4.68,0.991
B9V,-18.2769377589,117089,356.0503297874,5.24,-0.084
A3V,76.7939389405,78661,240.880630422,5.73,0.051
K5III,17.3398965586,19284,61.9975670245,5.89,1.497
F2,-70.4970874877,34473,107.1765478024,5.68,0.436
A2V,2.0872432389,65198,200.423512351,5.69,0.045
A2V,12.9827682219,31876,99.9488182953,5.99,0.063
A8/A9III/IV,-59.7327331137,22040,71.088137917,5.28,0.206
F1V,-1.318922451,32617,102.0794412665,5.75,0.292
A0Vs,19.8839698582,38722,118.9162295433,5.38,-0.035
K3III,-5.3239787778,34086,106.0218668653,5.63,1.29
A8IV,-35.8909726548,48926,149.717814673,5.23,0.3
A7V,7.5161968253,103652,315.0165924929,5.98,0.283
A8m,32.5881907941,22407,72.3294883757,5.84,0.25
K3III,8.0606955039,54863,168.5076418158,5.79,1.128
B2V,-39.5118190004,70300,215.7593287609,4.41,-0.185
G7III,3.2822888911,114971,349.2914078795,3.7,0.916
B8V,-34.7867923221,70243,215.5821616951,5.57,-0.088
O...,9.9341584192,26207,83.7844878884,3.39,-0.16
G8III:,55.8267130658,77738,238.0689874771,5.81,0.972
